gene_id,transcript_id
ENSG00000182768,ENST00000331497
ENSG00000140575,ENST00000268182
ENSG00000140443,ENST00000268035
ENSG00000103126,ENST00000262320
ENSG00000103266,ENST00000219548
ENSG00000103260,ENST00000219542
ENSG00000103245,ENST00000251588
ENSG00000206053,ENST00000248098
ENSG00000127561,ENST00000248121
ENSG00000205937,ENST00000301730
ENSG00000162063,ENST00000293968
ENSG00000162066,ENST00000293971
ENSG00000167977,ENST00000301738
ENSG00000126602,ENST00000246957
ENSG00000103423,ENST00000262375
ENSG00000140650,ENST00000268261
ENSG00000187555,ENST00000344836
ENSG00000103540,ENST00000381396
ENSG00000102897,ENST00000219168
ENSG00000168434,ENST00000307149
ENSG00000166851,ENST00000300093
ENSG00000077238,ENST00000170630
ENSG00000013364,ENST00000357402
ENSG00000149925,ENST00000338110
ENSG00000102879,ENST00000219150
ENSG00000156873,ENST00000328273
ENSG00000103496,ENST00000313843
ENSG00000129636,ENST00000320640
ENSG00000102893,ENST00000299167
ENSG00000087245,ENST00000219070
ENSG00000102900,ENST00000308159
ENSG00000051108,ENST00000300302
ENSG00000005194,ENST00000394391
ENSG00000205336,ENST00000379694
ENSG00000070770,ENST00000262506
ENSG00000140939,ENST00000268605
ENSG00000102977,ENST00000219251
ENSG00000168286,ENST00000303596
ENSG00000205220,ENST00000358514
ENSG00000072736,ENST00000329524
ENSG00000103066,ENST00000219345
ENSG00000062038,ENST00000264012
ENSG00000090861,ENST00000261772
ENSG00000103051,ENST00000323786
ENSG00000140830,ENST00000268483
ENSG00000065457,ENST00000307921
ENSG00000166848,ENST00000300086
ENSG00000166454,ENST00000299575
ENSG00000140943,ENST00000343411
ENSG00000167695,ENST00000301324
ENSG00000167699,ENST00000301328
ENSG00000177370,ENST00000327158
ENSG00000167193,ENST00000300574
ENSG00000132383,ENST00000254719
ENSG00000007168,ENST00000397193
ENSG00000083457,ENST00000263087
ENSG00000108523,ENST00000262482
ENSG00000091640,ENST00000206020
ENSG00000108559,ENST00000225696
ENSG00000198920,ENST00000361413
ENSG00000187838,ENST00000324822
ENSG00000141510,ENST00000269305
ENSG00000178999,ENST00000316199
ENSG00000006744,ENST00000338034
ENSG00000072134,ENST00000314728
ENSG00000124422,ENST00000261497
ENSG00000109084,ENST00000226230
ENSG00000109107,ENST00000226253
ENSG00000007202,ENST00000389003
ENSG00000108578,ENST00000261714
ENSG00000178691,ENST00000322652
ENSG00000176749,ENST00000313401
ENSG00000108691,ENST00000225831
ENSG00000141736,ENST00000269571
ENSG00000141738,ENST00000309156
ENSG00000108349,ENST00000264645
ENSG00000171475,ENST00000323571
ENSG00000131747,ENST00000423485
ENSG00000131473,ENST00000352035
ENSG00000173757,ENST00000293328
ENSG00000168610,ENST00000264657
ENSG00000068120,ENST00000393818
ENSG00000126581,ENST00000361523
ENSG00000108828,ENST00000355653
ENSG00000012048,ENST00000309486
ENSG00000108861,ENST00000226004
ENSG00000030582,ENST00000053867
ENSG00000186566,ENST00000335500
ENSG00000136448,ENST00000258960
ENSG00000225190,ENST00000421073
ENSG00000167183,ENST00000300557
ENSG00000002919,ENST00000359238
ENSG00000121073,ENST00000240333
ENSG00000108821,ENST00000225964
ENSG00000108384,ENST00000337432
ENSG00000141367,ENST00000269122
ENSG00000062725,ENST00000083182
ENSG00000121068,ENST00000240328
ENSG00000146872,ENST00000326270
ENSG00000008283,ENST00000360793
ENSG00000198231,ENST00000359353
ENSG00000108604,ENST00000225742
ENSG00000256525,ENST00000539111
ENSG00000125450,ENST00000245544
ENSG00000070731,ENST00000225276
ENSG00000070495,ENST00000303996
ENSG00000089685,ENST00000301633
ENSG00000108669,ENST00000361101
ENSG00000035862,ENST00000262768
ENSG00000171302,ENST00000302345
